ResponseID,Constructive Voice Behaviour  ,Power distance,Power distance -C,Collectivist,Collectivist - C,Resistance to Change,Resistance to change - C,Core Self Evaluation Scale,Core self evaluation - C,Age,Age 1,Age  1-C,Gender,Level of education,Level of Education 1,Level of Education 1-C,Manager
R_2xFTKbsq0tmJcg4,5,2.2,-1.40,5.17,-0.08,2.82,-0.47,4.42,-1.17,31-40 years,2,-0.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_6rn1APRxssGN2O9,5,3.8,0.20,5.33,0.08,3.59,0.29,4.58,-1.00,51-60 years,4,1.50,Female,PhD,5,1.50,NO
R_8raDTwy7qoRrX3D,5.6,3.8,0.20,6.67,1.42,3.47,0.18,6.00,0.42,41-50 years,3,0.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_2axZo11Hx70fm3j,7,2.2,-1.40,4.83,-0.42,2.00,-1.29,6.33,0.75,21-30 years,1,-1.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_0rHCMYAFnxqmlZn,6,2,-1.60,4.33,-0.92,3.35,0.06,5.08,-0.50,41-50 years,3,0.50,Female,Bachelor Degree,3,-0.50,NO
R_3n1vNjq3T8wz1PE,3.6,2,-1.60,3.67,-1.58,3.24,-0.06,6.33,0.75,31-40 years,2,-0.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_2OHWlDHf1tN1bsL,5,3.6,0.00,4.83,-0.42,2.53,-0.76,4.58,-1.00,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_9n6fmK9EXtNJlhb,4.4,3.6,0.00,4.50,-0.75,3.59,0.29,5.58,-0.00,51-60 years,4,1.50,Female,Bachelor Degree,3,-0.50,NO
R_eDUyQ5fUfAG8Pwp,6,1.4,-2.20,5.00,-0.25,2.88,-0.41,5.92,0.33,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_553D4pJ2dClLU8t,6,2.6,-1.00,5.67,0.42,3.47,0.18,5.25,-0.33,51-60 years,4,1.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_2aB0Fd7rKPxPxaZ,7,1.6,-2.00,4.33,-0.92,2.65,-0.65,3.83,-1.75,21-30 years,1,-1.50,Female,Bachelor Degree,3,-0.50,NO
R_9ZVfYRzRAF9DSbb,5,2,-1.60,6.00,0.75,4.53,1.24,5.25,-0.33,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_DcrPhDqyqsXChix,5,2.4,-1.20,3.67,-1.58,2.47,-0.82,4.33,-1.25,41-50 years,3,0.50,Female,Diploma,2,-1.50,NO
R_3oT19zGy7htGNf7,5.6,2.4,-1.20,3.17,-2.08,4.24,0.94,5.17,-0.42,51-60 years,4,1.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_2TTwkqo7cIz8G7y,5.8,2.8,-0.80,6.50,1.25,1.94,-1.35,5.17,-0.42,41-50 years,3,0.50,Male,Diploma,2,-1.50,YES
R_eQI1aIntjE9ulJH,4.4,3.2,-0.40,4.50,-0.75,3.53,0.24,4.58,-1.00,41-50 years,3,0.50,Female,PhD,5,1.50,NO
R_cx5bTyUbHHLAKIR,5.2,2.4,-1.20,3.83,-1.42,2.24,-1.06,5.08,-0.50,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_2ZBKeMikZoIxgLR,5.8,1.4,-2.20,4.33,-0.92,3.35,0.06,5.00,-0.58,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_5o1mKsFBvFzrM8p,3.4,3.4,-0.20,4.33,-0.92,6.00,2.71,5.67,0.08,41-50 years,3,0.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_3EKhwNmGg0zuJKX,5.2,2.4,-1.20,5.33,0.08,3.47,0.18,5.25,-0.33,21-30 years,1,-1.50,Male,High School / Secondary School,1,-2.50,NO
R_ewDRpt2hh75sw61,4.8,3,-0.60,4.17,-1.08,3.71,0.41,4.42,-1.17,31-40 years,2,-0.50,Female,Bachelor Degree,3,-0.50,NO
R_8xnHbjwSblc5WQ9,5.8,2.4,-1.20,2.33,-2.92,3.29,0.00,5.67,0.08,41-50 years,3,0.50,Female,Bachelor Degree,3,-0.50,NO
R_1IpmUjnjiEFkT5E,5.8,2.4,-1.20,3.83,-1.42,4.35,1.06,5.50,-0.08,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_6yhtps18SLiajv7,5,2.6,-1.00,5.33,0.08,4.82,1.53,4.67,-0.92,51-60 years,4,1.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_3UbJoltXBOUe2jj,6,1,-2.60,5.33,0.08,3.35,0.06,4.50,-1.08,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_bayLB3HtvCml8c5,5.6,3.6,0.00,4.50,-0.75,3.00,-0.29,4.58,-1.00,31-40 years,2,-0.50,Female,Bachelor Degree,3,-0.50,YES
R_3lLEAMrvIvcUGNv,5.4,1.8,-1.80,4.17,-1.08,3.41,0.12,3.58,-2.00,21-30 years,1,-1.50,Female,Bachelor Degree,3,-0.50,NO
R_2EE4O4qi8i0VPuq,6,1,-2.60,5.33,0.08,2.12,-1.18,4.67,-0.92,41-50 years,3,0.50,Male,PhD,5,1.50,NO
R_2y7t7OmARLGhnqH,5.2,3.6,0.00,3.67,-1.58,2.82,-0.47,5.83,0.25,31-40 years,2,-0.50,Male,Bachelor Degree,3,-0.50,YES
R_2SJ59ZCG53QNNS4,5.4,3,-0.60,4.33,-0.92,2.65,-0.65,5.00,-0.58,41-50 years,3,0.50,Female,Bachelor Degree,3,-0.50,NO
R_12Kovk0EAqherQo,5.6,3.2,-0.40,3.33,-1.92,3.65,0.35,5.17,-0.42,21-30 years,1,-1.50,Female,Diploma,2,-1.50,NO
R_egEPBsGVRufuUGV,6.6,2.8,-0.80,4.33,-0.92,2.47,-0.82,4.42,-1.17,41-50 years,3,0.50,Male,Bachelor Degree,3,-0.50,NO
R_1Csa4z6OLpD2blp,6,2.2,-1.40,5.00,-0.25,4.06,0.76,5.08,-0.50,41-50 years,3,0.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_3sjDl33BN4HkKuM,2,2.6,-1.00,5.83,0.58,5.00,1.71,2.83,-2.75,21-30 years,1,-1.50,Female,Bachelor Degree,3,-0.50,NO
R_1gBc3uvafgowUaq,7,1.6,-2.00,4.67,-0.58,2.76,-0.53,3.92,-1.67,21-30 years,1,-1.50,Male,Diploma,2,-1.50,NO
R_x0mGMsVzgtWGKdP,5.4,1,-2.60,5.33,0.08,3.06,-0.24,5.25,-0.33,51-60 years,4,1.50,Male,Bachelor Degree,3,-0.50,NO
R_e5LhTA0KLySBPjD,6,1.2,-2.40,6.17,0.92,3.59,0.29,5.08,-0.50,41-50 years,3,0.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_33shvl0nMa6oAU1,6,2,-1.60,5.50,0.25,2.65,-0.65,5.42,-0.17,41-50 years,3,0.50,Male,Bachelor Degree,3,-0.50,YES
R_6FE2FRnWnAWSy2h,5,3,-0.60,4.33,-0.92,2.18,-1.12,5.50,-0.08,21-30 years,1,-1.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_afM87BBlj4hFBBP,5,3,-0.60,3.17,-2.08,3.71,0.41,4.50,-1.08,41-50 years,3,0.50,Female,Bachelor Degree,3,-0.50,YES
R_1LTNWK0miT22HLW,7,2,-1.60,3.33,-1.92,2.00,-1.29,3.75,-1.83,31-40 years,2,-0.50,Female,Diploma,2,-1.50,YES
R_0D6qvIePgqBMuMt,5,2.6,-1.00,4.33,-0.92,3.88,0.59,5.33,-0.25,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_246Q9IoZldcWP1H,4.4,2.6,-1.00,5.50,0.25,3.82,0.53,3.42,-2.17,41-50 years,3,0.50,Male,Bachelor Degree,3,-0.50,NO
R_1UnzIR2fdUZMRTf,3.8,3,-0.60,4.17,-1.08,3.88,0.59,4.50,-1.08,51-60 years,4,1.50,Female,Bachelor Degree,3,-0.50,NO
R_8GL1O0vXvupPwCp,4.6,2,-1.60,5.00,-0.25,3.65,0.35,4.50,-1.08,31-40 years,2,-0.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_79z3Xa8CH3ng1kp,6,2.6,-1.00,6.17,0.92,3.06,-0.24,4.83,-0.75,51-60 years,4,1.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_2qCwxgVOaUtjlw3,5.8,3.2,-0.40,3.33,-1.92,3.94,0.65,5.00,-0.58,31-40 years,2,-0.50,Female,Bachelor Degree,3,-0.50,YES
R_2Cwyh9OaysmfcO6,6,3.2,-0.40,5.33,0.08,3.47,0.18,4.17,-1.42,51-60 years,4,1.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_ZsJ1EkMtRr0Z7jj,6,3.2,-0.40,3.83,-1.42,2.59,-0.71,5.08,-0.50,41-50 years,3,0.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_R3MnTwKnjXrbrHP,7,1.8,-1.80,3.50,-1.75,2.12,-1.18,3.92,-1.67,21-30 years,1,-1.50,Female,Bachelor Degree,3,-0.50,NO
R_sXpCYOZwz9lBGwh,6,1,-2.60,4.67,-0.58,2.53,-0.76,5.50,-0.08,31-40 years,2,-0.50,Female,Bachelor Degree,3,-0.50,YES
R_elFFRabvDcVTZE9,6.6,2,-1.60,5.00,-0.25,2.29,-1.00,6.17,0.58,31-40 years,2,-0.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_e5HPSQxPj5heGup,6,1.8,-1.80,5.67,0.42,3.06,-0.24,4.00,-1.58,41-50 years,3,0.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_bEg3hPY9hLVMel7,6,4,0.40,5.67,0.42,2.88,-0.41,4.92,-0.67,31-40 years,2,-0.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_3WdhiN6ba6KSKFL,5.8,2,-1.60,4.33,-0.92,4.12,0.82,5.92,0.33,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_8B16vNC4qD3sSuV,6,1,-2.60,2.17,-3.08,2.41,-0.88,6.33,0.75,41-50 years,3,0.50,Female,PhD,5,1.50,YES
R_1RqOaVurl6ye2PP,5.6,2,-1.60,5.83,0.58,3.18,-0.12,5.75,0.17,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_eVgIDV18oLyatbT,5.4,2.4,-1.20,5.00,-0.25,3.18,-0.12,5.58,-0.00,21-30 years,1,-1.50,Male,Diploma,2,-1.50,NO
R_4NJduxUr673Zui9,5.8,5.6,2.00,4.83,-0.42,2.82,-0.47,5.08,-0.50,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_6sP8UJAan2qzZCl,5.2,1.4,-2.20,4.83,-0.42,2.41,-0.88,5.33,-0.25,21-30 years,1,-1.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_3eoBbNnGqQDSKAh,5.6,2,-1.60,3.00,-2.25,4.06,0.76,4.17,-1.42,21-30 years,1,-1.50,Female,Bachelor Degree,3,-0.50,NO
R_6X04dSKEkRNZqT3,5.8,2,-1.60,3.50,-1.75,4.24,0.94,4.00,-1.58,31-40 years,2,-0.50,Female,Diploma,2,-1.50,NO
R_3GoVMiSBxuA2eFm,6,4,0.40,4.83,-0.42,3.76,0.47,3.67,-1.92,31-40 years,2,-0.50,Female,Bachelor Degree,3,-0.50,YES
R_30qV21iLgHa1EWN,4.8,3,-0.60,2.83,-2.42,2.94,-0.35,4.58,-1.00,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_3HnbfPVoo1Zztlg,6,2.8,-0.80,5.67,0.42,2.88,-0.41,5.25,-0.33,31-40 years,2,-0.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_1meHvKfPu4HdSd1,4.6,2.8,-0.80,5.67,0.42,4.41,1.12,4.75,-0.83,41-50 years,3,0.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_vuDu2GW6yMQ6UZb,5.8,1.4,-2.20,3.83,-1.42,2.94,-0.35,5.92,0.33,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_dgmELP8Hs64yOTX,6,1.8,-1.80,6.00,0.75,2.47,-0.82,5.83,0.25,41-50 years,3,0.50,Male,Bachelor Degree,3,-0.50,NO
R_86z92KDCz52c19P,5.2,2,-1.60,4.50,-0.75,2.35,-0.94,4.33,-1.25,31-40 years,2,-0.50,Female,Bachelor Degree,3,-0.50,NO
R_3GiVztW22OM8dUI,7,3.4,-0.20,5.00,-0.25,2.65,-0.65,5.42,-0.17,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_aWCaTu0QUaZBSFn,6.6,1.8,-1.80,5.17,-0.08,2.47,-0.82,5.92,0.33,31-40 years,2,-0.50,Male,Bachelor Degree,3,-0.50,YES
R_4Z8M45vF1FdfXXn,5,3.4,-0.20,5.17,-0.08,3.41,0.12,6.00,0.42,51-60 years,4,1.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_6WmmkRsSdp8Nm7z,6,3,-0.60,5.17,-0.08,3.24,-0.06,5.00,-0.58,41-50 years,3,0.50,Female,Bachelor Degree,3,-0.50,YES
